Designator,Mid X,Mid Y,Rotation,Layer
B1,50.25,-129.0,90.0,top
B2,50.25,-144.0,90.0,top
B3,50.25,-159.0,90.0,top
B4,50.25,-174.0,90.0,top
C1,59.14,-140.725,270.0,top
C3,59.105,-175.755,270.0,top
C4,64.52,-154.5,180.0,top
C5,72.07,-154.9,0.0,top
C8,71.66,-145.4725,0.0,top
C9,64.86,-145.4725,0.0,top
D1,62.14,-132.015,270.0,top
D2,62.13,-167.0125,270.0,top
H1,64.575,-124.5,0.0,top
H2,64.5,-177.5,0.0,top
H3,53.475,-124.475,0.0,top
H4,53.5,-177.5,0.0,top
J1,37.545,-136.19,270.0,top
J2,37.105,-166.19,180.0,top
J3,77.7425,-150.515,270.0,top
J4,55.2625,-136.875,90.0,top
J5,55.2625,-166.875,90.0,top
JP1,64.03,-163.71,270.0,top
JP2,60.23,-163.7125,270.0,top
R1,63.0,-141.0,270.0,top
R2,61.3,-141.0,270.0,top
U4,68.28,-147.325,180.0,top
U6,62.14,-136.7175,90.0,top
U7,62.13,-171.72,90.0,top
U9,68.295,-158.175,270.0,top
